County_Name,Rural_Status,Population,State_Name
Alamance,Regional City and Suburban,173877,North Carolina
Alexander,Rural,36644,North Carolina
Alleghany,Rural,11049,North Carolina
Anson,Rural,22060,North Carolina
Ashe,Rural,26711,North Carolina
Avery,Rural,17864,North Carolina
Beaufort,Rural,44468,North Carolina
Bertie,Rural,17505,North Carolina
Bladen,Rural,29525,North Carolina
Brunswick,Rural,144215,North Carolina
Buncombe,Regional City and Suburban,271534,North Carolina
Burke,Rural,87611,North Carolina
Cabarrus,Regional City and Suburban,231278,North Carolina
Caldwell,Rural,80463,North Carolina
Camden,Rural,10835,North Carolina
Carteret,Rural,68541,North Carolina
Caswell,Rural,22714,North Carolina
Catawba,Regional City and Suburban,161723,North Carolina
Chatham,Rural,77889,North Carolina
Cherokee,Rural,29167,North Carolina
Chowan,Rural,13722,North Carolina
Clay,Rural,11309,North Carolina
Cleveland,Rural,100359,North Carolina
Columbus,Rural,50092,North Carolina
Craven,Rural,100674,North Carolina
Cumberland,Regional City and Suburban,335508,North Carolina
Currituck,Rural,29653,North Carolina
Dare,Rural,37826,North Carolina
Davidson,Regional City and Suburban,170637,North Carolina
Davie,Rural,43533,North Carolina
Duplin,Rural,48515,North Carolina
Durham,Urban,326126,North Carolina
Edgecombe,Rural,48359,North Carolina
Forsyth,Urban,385523,North Carolina
Franklin,Rural,71703,North Carolina
Gaston,Regional City and Suburban,230856,North Carolina
Gates,Rural,10366,North Carolina
Graham,Rural,8043,North Carolina
Granville,Rural,61986,North Carolina
Greene,Rural,20417,North Carolina
Guilford,Urban,542410,North Carolina
Halifax,Rural,48272,North Carolina
Harnett,Rural,135966,North Carolina
Haywood,Rural,62476,North Carolina
Henderson,Regional City and Suburban,116829,North Carolina
Hertford,Rural,21278,North Carolina
Hoke,Rural,53114,North Carolina
Hyde,Rural,4508,North Carolina
Iredell,Regional City and Suburban,191968,North Carolina
Jackson,Rural,43410,North Carolina
Johnston,Regional City and Suburban,226504,North Carolina
Jones,Rural,9255,North Carolina
Lee,Rural,64138,North Carolina
Lenoir,Rural,54706,North Carolina
Lincoln,Regional City and Suburban,89670,North Carolina
Macon,Rural,37564,North Carolina
Madison,Rural,21502,North Carolina
Martin,Rural,21754,North Carolina
McDowell,Rural,44717,North Carolina
Mecklenburg,Urban,1122276,North Carolina
Mitchell,Rural,14963,North Carolina
Montgomery,Rural,25798,North Carolina
Moore,Rural,102763,North Carolina
Nash,Rural,95176,North Carolina
New Hanover,Urban,229018,North Carolina
Northampton,Rural,17129,North Carolina
Onslow,Regional City and Suburban,206160,North Carolina
Orange,Regional City and Suburban,148884,North Carolina
Pamlico,Rural,12344,North Carolina
Pasquotank,Rural,40821,North Carolina
Pender,Rural,62815,North Carolina
Perquimans,Rural,13130,North Carolina
Person,Rural,39127,North Carolina
Pitt,Regional City and Suburban,172169,North Carolina
Polk,Rural,19656,North Carolina
Randolph,Rural,145172,North Carolina
Richmond,Rural,42724,North Carolina
Robeson,Rural,116328,North Carolina
Rockingham,Rural,91266,North Carolina
Rowan,Regional City and Suburban,148150,North Carolina
Rutherford,Rural,64586,North Carolina
Sampson,Rural,58990,North Carolina
Scotland,Rural,34227,North Carolina
Stanly,Rural,63425,North Carolina
Stokes,Rural,44553,North Carolina
Surry,Rural,71152,North Carolina
Swain,Rural,14136,North Carolina
Transylvania,Rural,33165,North Carolina
Tyrrell,Rural,3254,North Carolina
Union,Regional City and Suburban,243648,North Carolina
Vance,Rural,42185,North Carolina
Wake,Urban,1150204,North Carolina
Warren,Rural,18762,North Carolina
Washington,Rural,10892,North Carolina
Watauga,Rural,54234,North Carolina
Wayne,Rural,116835,North Carolina
Wilkes,Rural,65806,North Carolina
Wilson,Rural,78369,North Carolina
Yadkin,Rural,37192,North Carolina
Yancey,Rural,18757,North Carolina
