State_Name,USPS Abbreviation,State_FIPS,Total_Computer,Total_Computer_Percent,Total_Broadband_Internet,Total_Broadband_Internet_Percent
Arkansas,AR,05,1031971,88.2,900851,77.0
Washington,WA,53,2755772,94.8,2617889,90.1
Kansas,KS,20,1047658,91.7,964872,84.5
Oklahoma,OK,40,1352894,90.6,1220163,81.7
Wisconsin,WI,55,2157295,90.7,2013911,84.7
Mississippi,MS,28,965947,86.5,846801,75.8
Missouri,MO,29,2213727,90.7,2029268,83.2
Michigan,MI,26,3625797,91.1,3358996,84.4
Rhode Island,RI,44,375980,90.7,358992,86.6
Minnesota,MN,27,2046817,92.7,1921524,87.0
Iowa,IA,19,1151928,90.4,1058240,83.1
New Mexico,NM,35,698146,88.1,617248,77.9
Nevada,NV,32,1058007,93.6,966388,85.5
Delaware,DE,10,345186,93.1,324194,87.4
Kentucky,KY,21,1547842,88.5,1427064,81.6
South Dakota,SD,46,313834,90.2,289591,83.2
Tennessee,TN,47,2352354,89.1,2151736,81.5
Pennsylvania,PA,42,4573026,89.6,4291043,84.0
California,CA,06,12360505,94.3,11650839,88.9
West Virginia,WV,54,632566,86.2,579140,78.9
Utah,UT,49,964342,96.1,896175,89.3
New York,NY,36,6754292,91.1,6320975,85.2
Alaska,AK,02,242325,95.0,222838,87.3
Florida,FL,12,7383447,93.1,6775756,85.4
South Carolina,SC,45,1769828,90.2,1593308,81.2
North Dakota,ND,38,292964,91.3,266498,83.1
Maine,ME,23,518583,91.1,480343,84.3
Georgia,GA,13,3522345,92.0,3233397,84.4
Alabama,AL,01,1659065,87.9,1509206,79.9
New Hampshire,NH,33,505000,93.7,478829,88.8
Oregon,OR,41,1545561,94.1,1446350,88.1
Wyoming,WY,56,217146,93.1,200362,85.9
Arizona,AZ,04,2467069,93.3,2288198,86.6
Louisiana,LA,22,1543376,88.1,1385094,79.1
Indiana,IN,18,2350951,90.3,2164235,83.2
Idaho,ID,16,605316,93.2,558279,86.0
Connecticut,CT,09,1274056,92.0,1209432,87.3
Hawaii,HI,15,433778,92.7,407533,87.1
Illinois,IL,17,4468588,91.5,4168736,85.4
Massachusetts,MA,25,2450583,92.6,2335640,88.2
Texas,TX,48,9187393,92.7,8428632,85.1
Montana,MT,30,394771,90.5,363179,83.3
Nebraska,NE,31,701638,91.5,656006,85.6
Ohio,OH,39,4276409,90.7,3988413,84.5
Colorado,CO,08,2028365,94.9,1916108,89.6
New Jersey,NJ,34,3040126,92.9,2876590,87.9
Maryland,MD,24,2088686,93.6,1974696,88.5
Virginia,VA,51,2939714,92.3,2740020,86.1
Vermont,VT,50,239892,91.3,218071,83.0
North Carolina,NC,37,3657447,90.7,3364263,83.4
